target,R2,MAE,RMSE,split,modelo
altura_max_m,0.0,426.2517057843968,552.2026844846226,Dev,DummyRegressor
altura_max_m,0.0,429.22662766575365,561.1023252670534,Test,DummyRegressor
ganancia_altura_m,0.0,408.13517579413696,529.8664402424463,Dev,DummyRegressor
ganancia_altura_m,0.0,401.3787627582772,526.6117753982467,Test,DummyRegressor
duracion_min,0.0,56.09164453660938,71.70456297832874,Dev,DummyRegressor
duracion_min,0.0,55.51753663596381,73.23182234750925,Test,DummyRegressor
distancia_km,0.0,135.2224866517946,170.06666204217404,Dev,DummyRegressor
distancia_km,0.0,135.33076923076928,170.69522750050479,Test,DummyRegressor
velocidad_promedio_kmh,0.0,14.675254008650935,18.314758968331425,Dev,DummyRegressor
velocidad_promedio_kmh,0.0,14.733458634138243,18.863496042888077,Test,DummyRegressor
num_termicas,0.0,57.07569924906526,69.33359615153535,Dev,DummyRegressor
num_termicas,0.0,57.11751306945483,69.60146979312744,Test,DummyRegressor
intensidad_termicas_mean_ms,0.0,0.38164102177396547,0.5462765346970107,Dev,DummyRegressor
intensidad_termicas_mean_ms,0.0,0.33160214090117,0.4508368512494338,Test,DummyRegressor
tiempo_en_termicas_min,0.0,22.434852001968977,28.71315955674776,Dev,DummyRegressor
tiempo_en_termicas_min,0.0,21.936745166376234,29.110044123592303,Test,DummyRegressor
tasa_ascenso_mean_ms,0.0,0.6381616866182802,1.1139988171808364,Dev,DummyRegressor
tasa_ascenso_mean_ms,0.0,0.5297190689569331,0.8359664296375852,Test,DummyRegressor
altura_max_m,0.3936943166140249,321.40853676940213,429.9761168292501,Dev,LinearRegression
altura_max_m,0.4509468323722282,310.4808815430089,412.79403867966295,Test,LinearRegression
ganancia_altura_m,0.3522080224147288,320.14277615151286,426.4657875883028,Dev,LinearRegression
ganancia_altura_m,0.3753093880248719,310.0039096455973,412.3517624031814,Test,LinearRegression
duracion_min,0.4781795575844816,39.15817176414747,51.79732568786067,Dev,LinearRegression
duracion_min,0.6709918058479714,32.81870225077331,41.98737717710136,Test,LinearRegression
distancia_km,0.470270337302405,94.66053839702872,123.77881878078831,Dev,LinearRegression
distancia_km,0.6469624657952382,80.29391740583931,101.41896876048678,Test,LinearRegression
velocidad_promedio_kmh,0.3069159142613548,12.088439252400136,15.247343027157038,Dev,LinearRegression
velocidad_promedio_kmh,0.4689532143707299,10.655311456514458,13.719632302599484,Test,LinearRegression
num_termicas,0.21619814947074134,51.24306440174305,61.3828245490107,Dev,LinearRegression
num_termicas,0.1559217909674534,53.1982355024722,63.832943984129415,Test,LinearRegression
intensidad_termicas_mean_ms,0.07275094903640378,0.37120543187897004,0.5260302803468135,Dev,LinearRegression
intensidad_termicas_mean_ms,0.0,0.34239683751477384,0.4578141286748258,Test,LinearRegression
tiempo_en_termicas_min,0.46084812376947326,16.114501390977058,21.083200783628197,Dev,LinearRegression
tiempo_en_termicas_min,0.6264326668648814,14.157072203419547,17.78297038947991,Test,LinearRegression
tasa_ascenso_mean_ms,0.03719543816212323,0.640332023934456,1.0930846594499124,Dev,LinearRegression
tasa_ascenso_mean_ms,0.0,0.5624126709420302,0.8458057343819241,Test,LinearRegression
altura_max_m,0.3248317354003132,347.1870267904784,453.7373433635543,Dev,Ridge
altura_max_m,0.38489186602580805,335.7509503203501,436.9200263124221,Test,Ridge
ganancia_altura_m,0.27763166621888813,345.83421107176696,450.3454338005169,Dev,Ridge
ganancia_altura_m,0.303496174177291,334.06294584236076,435.40871610516706,Test,Ridge
duracion_min,0.22724474413073859,48.406508046750304,63.032970905913785,Dev,Ridge
duracion_min,0.3047398830643937,46.84829280325805,61.036419293795326,Test,Ridge
distancia_km,0.30309951141647484,110.03868778118552,141.97261190908776,Dev,Ridge
distancia_km,0.40396622753601097,105.36635455143903,131.77838595760397,Test,Ridge
velocidad_promedio_kmh,0.29809522676051403,12.19206198119149,15.344060612816742,Dev,Ridge
velocidad_promedio_kmh,0.45068425521731603,10.821329746187564,13.953626805572418,Test,Ridge
num_termicas,0.14166392983391263,53.26557212247843,64.2351005395673,Dev,Ridge
num_termicas,0.1308820551177946,53.10390581471121,64.77283246716688,Test,Ridge
intensidad_termicas_mean_ms,0.062307957964865324,0.3690724599379203,0.5289841518402367,Dev,Ridge
intensidad_termicas_mean_ms,0.0,0.33052423403955394,0.4491754225324868,Test,Ridge
tiempo_en_termicas_min,0.23757073515251537,19.61993769471726,25.07152569479278,Dev,Ridge
tiempo_en_termicas_min,0.3539281945993431,18.091996921584293,23.386232000778346,Test,Ridge
tasa_ascenso_mean_ms,0.02732588155801463,0.632829607950479,1.0986728935323593,Dev,Ridge
tasa_ascenso_mean_ms,0.003937180857378819,0.5396498011833858,0.8203932053855518,Test,Ridge
