target,modelo,features,n_features,alpha,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,LinearRegression,simple,15,,0.25777154038853867,0.3936943166140249,0.4509468323722282,-0.05725251575820334
altura_max_m,Ridge,simple,15,0.1,0.28608585032947226,0.3890718943722351,0.4533851297990291,-0.06431323542679401
altura_max_m,Lasso,simple,15,1.0,0.2858234299153396,0.3888193432526924,0.4508006167619387,-0.061981273509246315
altura_max_m,ElasticNet,simple,15,0.001,0.2852302600168068,0.38536177292445684,0.45084514112612195,-0.06548336820166512
ganancia_altura_m,LinearRegression,simple,15,,0.2033886653666718,0.3522080224147288,0.3753093880248719,-0.023101365610143088
ganancia_altura_m,Ridge,simple,15,0.1,0.23427656013678125,0.34725031622992364,0.3777097705146315,-0.030459454284707865
ganancia_altura_m,Lasso,simple,15,1.0,0.23217704455072977,0.3464558277513118,0.3743213170421985,-0.027865489290886725
ganancia_altura_m,ElasticNet,simple,15,0.001,0.23330624816956408,0.34326525746529,0.37474223313364385,-0.031476975668353835
duracion_min,LinearRegression,simple,15,,0.36216594783588907,0.4781795575844816,0.6709918058479714,-0.19281224826348975
duracion_min,Ridge,simple,15,0.01,0.3770811369224223,0.4778294351753535,0.671197541627534,-0.1933681064521805
duracion_min,Lasso,simple,15,0.1,0.3988455690539093,0.4744245094371963,0.6714999992510489,-0.1970754898138526
duracion_min,ElasticNet,simple,15,0.001,0.36229251121737294,0.44268222697881177,0.6241478037640522,-0.18146557678524045
distancia_km,LinearRegression,simple,15,,0.3281875576739987,0.470270337302405,0.6469624657952382,-0.17669212849283322
distancia_km,Ridge,simple,15,0.1,0.3644683223230218,0.4574129003853209,0.6316501361447017,-0.17423723575938077
distancia_km,Lasso,simple,15,0.1,0.3647063118152222,0.46949995509013687,0.6478889256366609,-0.17838897054652403
distancia_km,ElasticNet,simple,15,0.001,0.3591412734667348,0.4470802874235108,0.6170979330480211,-0.17001764562451027
velocidad_promedio_kmh,LinearRegression,simple,15,,0.12005168540900482,0.3069159142613548,0.4689532143707299,-0.16203730010937512
velocidad_promedio_kmh,Ridge,simple,15,10.0,0.2011871680880568,0.29809522676051403,0.45068425521731603,-0.152589028456802
velocidad_promedio_kmh,Lasso,simple,15,0.1,0.19427428814573963,0.299629045890343,0.46165877229696217,-0.16202972640661917
velocidad_promedio_kmh,ElasticNet,simple,15,0.1,0.19906248545697863,0.2915945755059277,0.43625779090291483,-0.14466321539698712
num_termicas,LinearRegression,simple,15,,0.12746419968318734,0.21619814947074134,0.1559217909674534,0.06027635850328794
num_termicas,Ridge,simple,15,0.01,0.1325701686500501,0.2161024788348972,0.15767330299071547,0.058429175844181724
num_termicas,Lasso,simple,15,0.1,0.14009848524339166,0.21287170035568315,0.16973778299227982,0.04313391736340333
num_termicas,ElasticNet,simple,15,0.001,0.12787588874495823,0.20650217022806494,0.16053756173181166,0.04596460849625328
intensidad_termicas_mean_ms,LinearRegression,simple,15,,-0.335674913766548,0.07275094903640378,-0.09254373660575244,0.1652946856421562
intensidad_termicas_mean_ms,Ridge,simple,15,1000.0,-0.04514497048262285,0.03250246290710579,-0.05303727356298982,0.0855397364700956
intensidad_termicas_mean_ms,Lasso,simple,15,10.0,-0.037201692338497946,0.0,-0.059495861584680565,0.059495861584680565
intensidad_termicas_mean_ms,ElasticNet,simple,15,10.0,-0.037201692338497946,0.0,-0.059495861584680565,0.059495861584680565
tiempo_en_termicas_min,LinearRegression,simple,15,,0.36331804682144353,0.46084812376947326,0.6264326668648814,-0.16558454309540815
tiempo_en_termicas_min,Ridge,simple,15,0.01,0.37346779835748967,0.4605365755981007,0.6287240465550972,-0.1681874709569965
tiempo_en_termicas_min,Lasso,simple,15,0.01,0.3786585396378582,0.4605778586261222,0.6283071192390444,-0.16772926061292215
tiempo_en_termicas_min,ElasticNet,simple,15,0.001,0.3566317208146036,0.42924002048960974,0.6051649287393457,-0.17592490824973595
tasa_ascenso_mean_ms,LinearRegression,simple,15,,-0.21893280724607944,0.03719543816212323,-0.05872671048247291,0.09592214864459614
tasa_ascenso_mean_ms,Ridge,simple,15,1000.0,-0.024693704702294463,0.005958188056796931,-0.027650591851233086,0.03360877990803002
tasa_ascenso_mean_ms,Lasso,simple,15,10.0,-0.0018062522950509142,0.0,-0.03423753342211988,0.03423753342211988
tasa_ascenso_mean_ms,ElasticNet,simple,15,10.0,-0.0018062522950509142,0.0,-0.03423753342211988,0.03423753342211988
altura_max_m,LinearRegression,full,125,,-2.0132118046900325,0.8313902523746064,0.5851754634808122,0.24621478889379422
