altura_max_m,altura_min_m,ganancia_altura_m,duracion_min,velocidad_promedio_kmh,num_termicas,intensidad_termicas_mean_ms,tiempo_en_termicas_min,tasa_ascenso_mean_ms
1282.0,98.0,1181.0,148.1,115.2,45.0,2.41,52.9,2.47
1348.0,111.0,1234.0,153.7,106.0,107.0,2.33,58.1,2.24
1471.0,110.0,1360.0,160.5,119.0,71.0,3.51,59.2,3.55
1262.0,115.0,1136.0,156.1,100.0,91.0,2.13,58.5,2.13
1436.0,86.0,1350.0,174.9,121.1,79.0,2.24,66.0,2.22
1334.0,102.0,1232.0,184.4,109.4,79.0,2.18,72.0,2.27
1276.0,103.0,1171.0,182.7,108.9,66.0,3.38,66.3,3.28
1387.0,101.0,1285.0,137.3,106.5,50.0,1.98,51.4,1.79
1628.0,105.0,1523.0,241.0,123.0,107.0,3.1,89.3,3.61
1546.0,93.0,1443.0,122.6,87.0,66.0,2.08,43.9,1.9
1372.0,112.0,1260.0,230.3,106.9,170.0,2.2,89.1,2.25
1634.0,101.0,1532.0,231.4,114.3,107.0,2.33,90.2,2.39
1403.0,66.0,1318.0,154.0,113.7,76.0,2.29,56.4,2.3
1404.0,104.0,1299.0,173.5,104.2,79.0,2.15,60.8,2.06
1851.0,119.0,1732.0,128.7,107.5,81.0,2.54,48.4,2.39
1874.0,104.0,1770.0,171.4,116.0,90.0,2.3,72.4,2.22
1941.0,102.0,1837.0,154.6,120.1,79.0,2.99,58.2,3.65
1744.0,25.0,1717.0,201.2,99.9,101.0,2.04,76.3,1.85
1948.0,66.0,1869.0,150.2,137.5,93.0,2.8,57.4,2.86
1953.0,120.0,1833.0,184.7,118.2,129.0,3.01,70.0,2.87
1889.0,102.0,1786.0,171.5,124.4,104.0,2.47,71.5,2.58
2144.0,105.0,2039.0,224.6,116.7,117.0,2.33,90.1,2.16
2147.0,108.0,2039.0,224.6,84.8,116.0,2.87,87.9,3.68
2029.0,104.0,1923.0,237.8,131.0,120.0,2.39,96.9,2.33
2165.0,103.0,2062.0,178.8,95.4,115.0,3.99,72.0,4.18
2744.0,103.0,2640.0,215.2,119.0,113.0,2.55,84.3,2.58
2553.0,93.0,2460.0,205.4,132.4,112.0,2.33,81.1,2.34
2703.0,126.0,2576.0,199.8,121.7,99.0,2.52,77.6,2.42
1265.0,118.0,1144.0,74.0,108.9,58.0,2.48,27.5,2.29
1245.0,105.0,1140.0,72.7,94.7,16.0,2.21,25.4,1.82
1675.0,109.0,1564.0,179.4,106.5,65.0,2.18,72.7,2.24
1744.0,48.0,1681.0,183.8,121.9,112.0,2.19,66.0,2.19
1847.0,89.0,1753.0,254.9,115.4,113.0,3.38,91.7,4.06
1732.0,58.0,1659.0,256.4,119.2,153.0,2.11,98.0,2.06
1770.0,96.0,1674.0,210.2,110.1,80.0,2.11,82.0,2.02
1700.0,53.0,1646.0,116.6,81.7,73.0,3.27,44.4,4.09
1704.0,95.0,1604.0,237.5,117.6,131.0,2.5,95.2,2.46
1038.0,74.0,961.0,147.8,108.0,52.0,2.04,52.4,2.1
1460.0,78.0,1379.0,129.0,120.3,78.0,2.28,49.0,2.24
6278.0,113.0,6162.0,156.1,102.3,53.0,2.32,60.4,4.52
1450.0,94.0,1354.0,155.6,102.8,66.0,2.33,56.2,2.22
1091.0,90.0,1000.0,134.8,106.5,35.0,2.98,47.6,3.04
1643.0,99.0,1543.0,129.0,109.7,73.0,2.43,50.3,2.27
1722.0,116.0,1606.0,143.1,103.5,109.0,2.43,56.0,2.4
1572.0,102.0,1470.0,106.5,88.4,47.0,1.8,39.4,1.66
1644.0,101.0,1541.0,136.5,111.9,75.0,2.65,54.7,2.55
1367.0,22.0,1336.0,52.6,76.8,19.0,2.21,18.6,1.99
1857.0,103.0,1754.0,146.6,116.6,82.0,2.7,59.0,2.65
1506.0,108.0,1398.0,61.2,86.8,33.0,1.75,23.2,1.65
1823.0,117.0,1705.0,119.1,102.8,77.0,2.59,45.3,2.67
1274.0,104.0,1170.0,83.1,98.0,34.0,2.03,31.4,1.83
1715.0,105.0,1610.0,208.4,105.6,123.0,2.14,87.8,2.08
1811.0,102.0,1705.0,242.7,111.1,109.0,2.45,96.7,2.45
1754.0,104.0,1649.0,210.4,85.7,125.0,3.45,81.0,3.74
1927.0,112.0,1814.0,219.6,106.7,138.0,2.61,87.2,2.51
2040.0,102.0,1935.0,80.2,95.5,42.0,1.97,31.8,1.91
1525.0,100.0,1425.0,177.7,83.5,116.0,3.25,69.8,4.1
1615.0,99.0,1513.0,109.8,91.2,65.0,2.24,40.4,2.09
2457.0,85.0,2361.0,224.1,80.4,122.0,2.61,78.8,3.83
2496.0,102.0,2393.0,221.7,129.3,26.0,2.8,81.5,2.51
2428.0,105.0,2322.0,182.5,113.7,115.0,3.08,70.5,2.89
2450.0,108.0,2342.0,211.4,118.2,20.0,2.27,85.4,1.91
1516.0,98.0,1418.0,127.6,101.8,90.0,2.51,49.2,2.48
1330.0,16.0,1294.0,71.8,76.5,28.0,2.75,23.1,2.24
